,wave,treatment,direction,veracity,full_path
38,wave1,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_d/trueProD_HP_gazpacho.png
39,wave1,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_d/trueProD_LP_putin.png
40,wave1,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_d/trueProD_LP_traffic.png
41,wave1,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_d/TrueProD_HP_HouseReps.png
42,wave1,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_d/TrueProD_LP_MTGRebukes.png
43,wave1,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_d/TrueProD_LP_MTGEvo.png
44,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_LP_BidenAccident.png
45,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_HP_Hunter.png
46,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_HP_slumber.png
47,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/trueProR_LP_AOC.png
48,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_HP_GodLeft.png
49,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_LP_22Dems_cap.png
50,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_LP_Nancy.png
51,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/trueProR_HP_key.png
52,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_LP_baltimore.png
53,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_LP_JoeBidenSpent.png
54,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_HP_BidenSnubs.png
55,wave1,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/true/pro_r/TrueProR_HP_WorstInflation.png
56,wave1,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_d/FalseProD_AnotherRussian.png
57,wave1,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_d/falseProD_signing.png
58,wave1,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_d/FalseProD_Unearthed.png
59,wave1,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_d/FalseProD_Dayton_cap.png
60,wave1,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_d/falseProD_kushner.png
61,wave1,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_d/FalseProD_Majorie.png
62,wave1,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_r/FalseProR_CDC.png
63,wave1,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_r/FalseProR_BidensClimate_cap.png
64,wave1,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_r/FalseProR_NYLeg.png
65,wave1,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_r/falseProR_ebola.png
66,wave1,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_r/FalseProR_RevealedSimple.png
67,wave1,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/control/false/pro_r/falseProR_pelosi.png
