,treatment,direction,veracity,full_path
41,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_MSNBC_3_FC.png
42,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Breit_2_FC.png
43,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Fox_2_FC.png
44,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Fox_3_FC.png
45,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Breit_3_FC.png
46,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Fox_1_FC.png
47,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Breit_1_FC.png
48,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_HP_MTGandLB.png
49,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_LP_Desantis.png
50,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_HP_AfterVoting.png
51,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_LP_McConnellBlack.png
52,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/trueProD_HP_GOPcensures.png
53,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_HP_Newt.png
54,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/trueProD_HP_gazpacho.png
55,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/trueProD_LP_putin.png
56,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/trueProD_LP_traffic.png
57,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_HP_HouseReps.png
58,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_LP_MTGRebukes.png
59,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_LP_MTGEvo.png
60,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_LP_BidenAccident.png
61,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_HP_Hunter.png
62,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_HP_slumber.png
63,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/trueProR_LP_AOC.png
64,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_HP_GodLeft.png
65,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_LP_22Dems_cap.png
66,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_LP_Nancy.png
67,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/trueProR_HP_key.png
68,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_LP_baltimore.png
69,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_LP_JoeBidenSpent.png
70,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_HP_BidenSnubs.png
71,control,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_r/TrueProR_HP_WorstInflation.png
72,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_d/FalseProD_AnotherRussian.png
73,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_d/falseProD_signing.png
74,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_d/FalseProD_Unearthed.png
75,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_d/FalseProD_Dayton_cap.png
76,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_d/falseProD_kushner.png
77,control,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_d/FalseProD_Majorie.png
78,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_r/FalseProR_CDC.png
79,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_r/FalseProR_BidensClimate_cap.png
80,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_r/FalseProR_NYLeg.png
81,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_r/falseProR_ebola.png
82,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_r/FalseProR_RevealedSimple.png
83,control,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/false/pro_r/falseProR_pelosi.png
